,oid,ent,sectionId,EP_1,EP_2
789,1,6,5966,5966,5966
790,1,7,5969,5969,5969
791,1,8,5972,5972,5972
792,1,9,5967,5967,5967
793,1,1,6170,6170,6170
794,1,2,6166,6166,6166
795,1,3,6169,6169,6169
796,1,4,6172,6172,6172
797,1,5,6167,6167,6167
798,1,6,6170,6170,6170
799,1,7,6173,6173,6173
800,1,8,6168,6168,6168
801,1,9,6071,6071,6071
802,1,1,6067,6067,6067
803,1,2,6070,6070,6070
804,1,3,6073,6073,6073
805,1,4,6068,6068,6068
806,1,5,6071,6071,6071
807,1,6,6074,6074,6074
808,1,7,6069,6069,6069
809,1,8,5970,5970,5970
810,1,9,5966,5966,5966
811,1,1,5969,5969,5969
812,1,2,5972,5972,5972
813,1,3,5967,5967,5967
814,1,4,5970,5970,5970
815,1,5,5973,5973,5973
816,1,6,5968,5968,5968
817,1,7,5569,5569,5569
818,1,8,5565,5565,5565
819,1,9,5568,5568,5568
820,1,1,5571,5571,5571
821,1,2,5566,5566,5566
822,1,3,5569,5569,5569
823,1,4,5572,5572,5572
824,1,5,5567,5567,5567
825,1,6,5168,5168,5168
826,1,7,5164,5164,5164
827,1,8,5167,5167,5167
828,1,9,5170,5170,5170
829,1,1,5165,5165,5165
830,1,2,5168,5168,5168
831,1,3,5171,5171,5171
832,1,4,5166,5166,5166
833,1,5,4767,4767,4767
834,1,6,4763,4763,4763
835,1,7,4766,4766,4766
836,1,8,4769,4769,4769
837,1,9,4764,4764,4764
838,1,1,4767,4767,4767
839,1,2,4770,4770,4770
840,1,3,4765,4765,4765
841,1,4,4265,4265,4265
842,1,5,4261,4261,4261
843,1,6,4264,4264,4264
844,1,7,4267,4267,4267
845,1,8,4262,4262,4262
846,1,9,4265,4265,4265
847,1,1,4268,4268,4268
848,1,2,4263,4263,4263
849,1,3,3864,3864,3864
850,1,4,3860,3860,3860
851,1,5,3863,3863,3863
852,1,6,3866,3866,3866
853,1,7,3861,3861,3861
854,1,8,3864,3864,3864
855,1,9,3867,3867,3867
856,1,1,3862,3862,3862
857,1,2,3664,3664,3664
858,1,3,3660,3660,3660
859,1,4,3663,3663,3663
860,1,5,3666,3666,3666
861,1,6,3661,3661,3661
862,1,7,3664,3664,3664
863,1,8,3667,3667,3667
864,1,9,3662,3662,3662
865,1,1,3565,3565,3565
866,1,2,3561,3561,3561
867,1,3,3564,3564,3564
868,1,4,3567,3567,3567
869,1,5,3562,3562,3562
870,1,6,3565,3565,3565
871,1,7,3568,3568,3568
872,1,8,3563,3563,3563
873,1,9,3565,3565,3565
874,1,1,3561,3561,3561
875,1,2,3564,3564,3564
876,1,3,3567,3567,3567
877,1,4,3562,3562,3562
878,1,5,3565,3565,3565
879,1,6,3568,3568,3568
880,1,7,3563,3563,3563
881,1,8,3667,3667,3667
882,1,9,3663,3663,3663
883,1,1,3666,3666,3666
884,1,2,3669,3669,3669
885,1,3,3664,3664,3664
886,1,4,3667,3667,3667
887,1,5,3670,3670,3670
888,1,6,3665,3665,3665
